Loomis;LOOMIS;SEK;SE0014504817;Industrials;5020
Lundin Gold;LUG;SEK;CA5503711080;Basic Materials;5510
Lundin Mining Corporation;LUMI;SEK;CA5503721063;Basic Materials;5510
Lundbergf�retagen B;LUND B;SEK;SE0000108847;Financials;3020
Medicover B;MCOV B;SEK;SE0009778848;Health Care;2010
Mips;MIPS;SEK;SE0009216278;Consumer Services;4020
Modern Times Group A;MTG A;SEK;SE0018012486;Consumer Services;4030
Modern Times Group B;MTG B;SEK;SE0018012494;Consumer Services;4030
Munters Group;MTRS;SEK;SE0009806607;Industrials;5010
Mycronic;MYCR;SEK;SE0000375115;Technology;1010
NCAB Group;NCAB;SEK;SE0017160773;Technology;1010
NCC A;NCC A;SEK;SE0000118952;Industrials;5010
NCC B;NCC B;SEK;SE0000117970;Industrials;5010
Nordea Bank Abp;NDA SE;SEK;FI4000297767;Financials;3010
New Wave B;NEWA B;SEK;SE0020356970;Consumer Services;4020
NIBE Industrier B;NIBE B;SEK;SE0015988019;Industrials;5010
Nolato B;NOLA B;SEK;SE0015962477;Industrials;5020
NP3 Fastigheter;NP3;SEK;SE0006342333;Real Estate;3510
NP3 Fastigheter Pref;NP3 PREF;SEK;SE0010820514;Real Estate;3510
Nyfosa;NYF;SEK;SE0011426428;Real Estate;3510
OX2;OX2;SEK;SE0016075337;Energy;6010
Peab B;PEAB B;SEK;SE0000106205;Industrials;5010
Pandox B;PNDX B;SEK;SE0007100359;Real Estate;3510
Ratos A;RATO A;SEK;SE0000191090;Financials;3020
Ratos B;RATO B;SEK;SE0000111940;Financials;3020
SAAB B;SAAB B;SEK;SE0000112385;Industrials;5020
Sagax A;SAGA A;SEK;SE0004635878;Real Estate;3510
Sagax B;SAGA B;SEK;SE0005127818;Real Estate;3510
Sagax D;SAGA D;SEK;SE0009161052;Real Estate;3510
Sampo Oyj SDB;SAMPO SDB;SEK;SE0018768707;Financials;3030
Sandvik;SAND;SEK;SE0000667891;Industrials;5020
