Ticker;Name
NORION;Norion Bank
NORVA;Norva24 Group
NOTE;NOTE
NPAPER;Nordic Paper Holding
NWG;Nordic Waterproofing Holding
OEM B;OEM International B
ORES;Öresund
ORRON;Orrön Energy
PACT;Proact IT Group
PCELL;PowerCell Sweden
PLAZ B;Platzer Fastigheter Holding B
PRFO;Profoto Holding
PRIC B;Pricer B
PROB;Probi
RAY B;RaySearch Laboratories B
REJL B;Rejlers B
RESURS;Resurs Holding
RROS;Rottneros
RUSTA;Rusta
RVRC;RVRC Holding
SCST;Scandi Standard
SDIP B;Sdiptech B
SDIP PREF;Sdiptech Pref
SEDANA;Sedana Medical
SF;Stillfront Group
SHOT;Scandic Hotels Group
SKIS B;SkiStar B
SLP B;Swedish Logistic Property B
STEF B;Stendörren Fastigheter B
SVOL A;Svolder A
SVOL B;Svolder B
SYNSAM;Synsam
TDVOX;Tobii Dynavox
TETY;Tethys Oil
TFBANK;TF Bank
TRAC B;Traction B
TRIAN B;Trianon B
VBG B;VBG GROUP B
VEFAB;VEF
VESTUM;Vestum
VNV;VNV Global
VOLO;Volati
VOLO PREF;Volati Pref
VPLAY A;Viaplay Group A
VPLAY B;Viaplay Group B
XANO B;XANO Industri B
XVIVO;Xvivo Perfusion
ABLI;Abliva
ACE;Ascelia Pharma
ACRI A;Acrinova A
ACRI B;Acrinova B
ACTI;Active Biotech
ANNE B;Annehem Fastigheter B
ANOT;Anoto Group
ARPL;Arla Plast
ATIC;Actic Group
ATORX;Alligator Bioscience
B3;B3 Consulting Group
BALCO;Balco Group
BEGR;BE Group
BESQ;Besqab
BONG;Bong
BORG;Björn Borg
BOUL;Boule Diagnostics
BULTEN;Bulten
CANTA;Cantargia
CBTT B;Christian Berner Tech Trade B
CNCJO B;Concejo B
CRAD B;C-RAD B
DEDI;Dedicare B
DORO;DORO
DURC B;Duroc B
EGTX;Egetis Therapeutics
ELON;Elon
ELTEL;Eltel
ENRO;Eniro Group
EPIS B;Episurf B
FASTAT;Fastator
FING B;Fingerprint Cards B
FNM;Ferronordic
FPIP;Formpipe Software
HAKI A;HAKI Safety A
HAKI B;HAKI Safety B
HAV B;Havsfrun Investment B
IBT B;Infant Bacterial TherapeuticsB
IMMNOV;Immunovia
IMMU;Mendus
INFREA;Infrea
IRLAB A;IRLAB Therapeutics A
IS;Image Systems
ISOFOL;Isofol Medical
K2A B;K2A Knaust & Andersson B
K2A PREF;K2A Knaust & Andersson Pref
KARNEL B;Karnell Group B
KDEV;Karolinska Development B
LAMM B;Lammhults Design Group B
MAHA A;Maha Energy
MEAB B;Malmbergs Elektriska B
MOB;Moberg Pharma
MOMENT;Moment Group
MSAB B;Micro Systemation B
MSON A;Midsona A
MSON B;Midsona B
MVIR;Medivir
NAXS;NAXS
NELLY;Nelly Group
NETEL;Netel Holding
NGS;NGS Group
NICA;Nanologica
NIL B;Nilörngruppen B
NORB B;Nordisk Bergteknik B
NTEK B;NOVOTEK B
ONCO;Oncopeptides
OP;Oscar Properties Holding
OP PREF;Oscar Properties Holding PREF
OP PREFB;Oscar Properties Holding PREFB
ORTI A;Ortivus A
ORTI B;Ortivus B
ORX;Orexo
OVZON;Ovzon
PENG B;Projektengagemang Sweden B
PIERCE;Pierce Group
PION B;PION Group B
PREC;Precise Biometrics
PREV B;Prevas B
PROF B;Profilgruppen B
QLINEA;Q-Linea
QLIRO;Qliro
RAIL;Railcare Group
RIZZO B;Rizzo Group B
SAFETY B;mySafety Group B
SANION;Saniona
SAS;SAS
SEAF;Seafire
SEZI;Senzime
SFAB;Solid Försäkringsaktiebolag
SGG;Sensys Gatso Group
SINT;SinterCast
SIVE;Sivers Semiconductors
SLEEP;Sleep Cycle
SOF B;Softronic B
STAR A;Starbreeze A
STAR B;Starbreeze B
STRAX;Strax
STWK;Stockwik Förvaltning
SVED B;Svedbergs Group B
SVIK;Studsvik
SYNACT;SynAct Pharma
TOBII;Tobii
TRAD;TradeDoubler
TRANS;Transtema Group
VICO;Vicore Pharma Holding
VIVE;Vivesto
WBGR B;Wästbygg Gruppen B
WISE;Wise Group
WTW A;Wall to Wall Group A
XBRANE;Xbrane Biopharma
XSPRAY;Xspray Pharma
