Symbol,Shortname,Longname,Sector,Industry,City,State,Country,Identifier
COF,Capital One Financial Corporati,Capital One Financial Corporation,Financial Services,Credit Services,McLean,VA,United States,NYSE
CPRT,Copart Inc.,Copart Inc.,Industrials,Specialty Business Services,Dallas,TX,United States,NASDAQ_SE
SPG,Simon Property Group Inc.,Simon Property Group Inc.,Real Estate,REIT - Retail,Indianapolis,IN,United States,NYSE
MMM,3M Company,3M Company,Industrials,Conglomerates,Saint Paul,MN,United States,NYSE
NSC,Norfolk Southern Corporation,Norfolk Southern Corporation,Industrials,Railroads,Atlanta,GA,United States,NYSE
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,Rolling Meadows,IL,United States,NYSE
AIG,American International Group I,American International Group Inc.,Financial Services,Insurance - Diversified,New York,NY,United States,NYSE
TFC,Truist Financial Corporation,Truist Financial Corporation,Financial Services,Banks - Regional,Charlotte,NC,United States,NYSE
VLO,Valero Energy Corporation,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,San Antonio,TX,United States,NYSE
DXCM,DexCom Inc.,DexCom Inc.,Healthcare,Medical Devices,San Diego,CA,United States,NASDAQ_SE
GM,General Motors Company,General Motors Company,Consumer Cyclical,Auto Manufacturers,Detroit,MI,United States,NYSE
EW,Edwards Lifesciences Corporatio,Edwards Lifesciences Corporation,Healthcare,Medical Devices,Irvine,CA,United States,NYSE
AZO,AutoZone Inc.,AutoZone Inc.,Consumer Cyclical,Specialty Retail,Memphis,TN,United States,NYSE
MCHP,Microchip Technology Incorporat,Microchip Technology Incorporated,Technology,Semiconductors,Chandler,AZ,United States,NASDAQ_SE
MET,MetLife Inc.,MetLife Inc.,Financial Services,Insurance - Life,New York,NY,United States,NYSE
HLT,Hilton Worldwide Holdings Inc.,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,McLean,VA,United States,NYSE
DHI,D.R. Horton Inc.,D.R. Horton Inc.,Consumer Cyclical,Residential Construction,Arlington,TX,United States,NYSE
F,Ford Motor Company,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,Dearborn,MI,United States,NYSE
TRV,Travelers Companies Inc.,The Travelers Companies Inc.,Financial Services,Insurance - Property & Casualty,New York,NY,United States,NYSE
HES,Hess Corporation,Hess Corporation,Energy,Oil & Gas E&P,New York,NY,United States,NYSE
SMCI,Super Micro Computer Inc.,Super Micro Computer Inc.,Technology,Computer Hardware,San Jose,CA,United States,NASDAQ_SE
AFL,AFLAC Incorporated,Aflac Incorporated,Financial Services,Insurance - Life,Columbus,GA,United States,NYSE
MRNA,Moderna Inc.,Moderna Inc.,Healthcare,Biotechnology,Cambridge,MA,United States,NASDAQ_SE
O,Realty Income Corporation,Realty Income Corporation,Real Estate,REIT - Retail,San Diego,CA,United States,NYSE
NEM,Newmont Corporation,Newmont Corporation,Basic Materials,Gold,Denver,CO,United States,NYSE
EL,Estee Lauder Companies Inc. (T,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,New York,NY,United States,NYSE
WMB,Williams Companies Inc.,The Williams Companies Inc.,Energy,Oil & Gas Midstream,Tulsa,OK,United States,NYSE
PSA,Public Storage,Public Storage,Real Estate,REIT - Industrial,Glendale,CA,United States,NYSE
STZ,Constellation Brands Inc.,Constellation Brands Inc.,Consumer Defensive,Beverages - Wineries & Distilleries,Victor,NY,United States,NYSE
DLR,Digital Realty Trust Inc.,Digital Realty Trust Inc.,Real Estate,REIT - Specialty,Austin,TX,United States,NYSE
AEP,American Electric Power Company,American Electric Power Company Inc.,Utilities,Utilities - Regulated Electric,Columbus,OH,United States,NASDAQ_SE
GEV,GE Vernova Inc.,GE Vernova Inc.,Utilities,Utilities - Renewable,Cambridge,MA,United States,NYSE
ADSK,Autodesk Inc.,Autodesk Inc.,Technology,Software - Application,San Francisco,CA,United States,NASDAQ_SE
PCG,Pacific Gas & Electric Co.,PG&E Corporation,Utilities,Utilities - Regulated Electric,Oakland,CA,United States,NYSE
SRE,DBA Sempra,Sempra,Utilities,Utilities - Diversified,San Diego,CA,United States,NYSE
GWW,W.W. Grainger Inc.,W.W. Grainger Inc.,Industrials,Industrial Distribution,Lake Forest,IL,United States,NYSE
KDP,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,Burlington,MA,United States,NASDAQ_SE
KMB,Kimberly Clark Corporation,Kimberly Clark Corporation,Consumer Defensive,Household & Personal Products,Dallas,TX,United States,NYSE
OKE,ONEOK Inc.,ONEOK Inc.,Energy,Oil & Gas Midstream,Tulsa,OK,United States,NYSE
URI,United Rentals Inc.,United Rentals Inc.,Industrials,Rental & Leasing Services,Stamford,CT,United States,NYSE
FTNT,Fortinet Inc.,Fortinet Inc.,Technology,Software - Infrastructure,Sunnyvale,CA,United States,NASDAQ_SE
ALL,Allstate Corporation,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,Northbrook,IL,United States,NYSE
LULU,lululemon athletica inc.,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,Vancouver,BC,Canada,NASDAQ_SE
COR,Cencora Inc.,Cencora Inc.,Healthcare,Medical Distribution,Conshohocken,PA,United States,NYSE
ROST,Ross Stores Inc.,Ross Stores Inc.,Consumer Cyclical,Apparel Retail,Dublin,CA,United States,NASDAQ_SE
LEN,Lennar Corporation,Lennar Corporation,Consumer Cyclical,Residential Construction,Miami,FL,United States,NYSE
TEL,TE Connectivity Ltd. New Switze,TE Connectivity Ltd.,Technology,Electronic Components,Schaffhausen,,Switzerland,NYSE
PAYX,Paychex Inc.,Paychex Inc.,Industrials,Staffing & Employment Services,Rochester,NY,United States,NASDAQ_SE
KHC,Kraft Heinz Company,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,Pittsburgh,PA,United States,NASDAQ_SE
D,Dominion Energy Inc.,Dominion Energy Inc.,Utilities,Utilities - Regulated Electric,Richmond,VA,United States,NYSE
BK,Bank of New York Mellon Cor,The Bank of New York Mellon Corporation,Financial Services,Asset Management,New York,NY,United States,NYSE
JCI,Johnson Controls International,Johnson Controls International plc,Industrials,Building Products & Equipment,Cork,,Ireland,NYSE
AMP,Ameriprise Financial Inc.,Ameriprise Financial Inc.,Financial Services,Asset Management,Minneapolis,MN,United States,NYSE
CCI,Crown Castle Inc.,Crown Castle Inc.,Real Estate,REIT - Specialty,Houston,TX,United States,NYSE
NUE,Nucor Corporation,Nucor Corporation,Basic Materials,Steel,Charlotte,NC,United States,NYSE
PRU,Prudential Financial Inc.,Prudential Financial Inc.,Financial Services,Insurance - Life,Newark,NJ,United States,NYSE
IQV,IQVIA Holdings Inc.,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,Durham,NC,United States,NYSE
KMI,Kinder Morgan Inc.,Kinder Morgan Inc.,Energy,Oil & Gas Midstream,Houston,TX,United States,NYSE
A,Agilent Technologies Inc.,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,Santa Clara,CA,United States,NYSE
LHX,L3Harris Technologies Inc.,L3Harris Technologies Inc.,Industrials,Aerospace & Defense,Melbourne,FL,United States,NYSE
DOW,Dow Inc.,Dow Inc.,Basic Materials,Chemicals,Midland,MI,United States,NYSE
ODFL,Old Dominion Freight Line Inc.,Old Dominion Freight Line Inc.,Industrials,Trucking,Thomasville,NC,United States,NASDAQ_SE
CNC,Centene Corporation,Centene Corporation,Healthcare,Healthcare Plans,Saint Louis,MO,United States,NYSE
HSY,Hershey Company,The Hershey Company,Consumer Defensive,Confectioners,Hershey,PA,United States,NYSE
KR,Kroger Company,The Kroger Co.,Consumer Defensive,Grocery Stores,Cincinnati,OH,United States,NYSE
CTVA,Corteva Inc.,Corteva Inc.,Basic Materials,Agricultural Inputs,Indianapolis,IN,United States,NYSE
FIS,Fidelity National Information S,Fidelity National Information Services Inc.,Technology,Information Technology Services,Jacksonville,FL,United States,NYSE
IDXX,IDEXX Laboratories Inc.,IDEXX Laboratories Inc.,Healthcare,Diagnostics & Research,Westbrook,ME,United States,NASDAQ_SE
GIS,General Mills Inc.,General Mills Inc.,Consumer Defensive,Packaged Foods,Minneapolis,MN,United States,NYSE
PWR,Quanta Services Inc.,Quanta Services Inc.,Industrials,Engineering & Construction,Houston,TX,United States,NYSE
FAST,Fastenal Company,Fastenal Company,Industrials,Industrial Distribution,Winona,MN,United States,NASDAQ_SE
CHTR,Charter Communications Inc.,Charter Communications Inc.,Communication Services,Telecom Services,Stamford,CT,United States,NASDAQ_SE
AME,AMETEK Inc.,AMETEK Inc.,Industrials,Specialty Industrial Machinery,Berwyn,PA,United States,NYSE
CMI,Cummins Inc.,Cummins Inc.,Industrials,Specialty Industrial Machinery,Columbus,IN,United States,NYSE
HUM,Humana Inc.,Humana Inc.,Healthcare,Healthcare Plans,Louisville,KY,United States,NYSE
YUM,Yum! Brands Inc.,Yum! Brands Inc.,Consumer Cyclical,Restaurants,Louisville,KY,United States,NYSE
MSCI,MSCI Inc.,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,New York,NY,United States,NYSE
OTIS,Otis Worldwide Corporation,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,Farmington,CT,United States,NYSE
SYY,Sysco Corporation,Sysco Corporation,Consumer Defensive,Food Distribution,Houston,TX,United States,NYSE
EXC,Exelon Corporation,Exelon Corporation,Utilities,Utilities - Regulated Electric,Chicago,IL,United States,NASDAQ_SE
CSGP,CoStar Group Inc.,CoStar Group Inc.,Real Estate,Real Estate Services,Washington,DC,United States,NASDAQ_SE
MLM,Martin Marietta Materials Inc.,Martin Marietta Materials Inc.,Basic Materials,Building Materials,Raleigh,NC,United States,NYSE
RCL,Royal Caribbean Cruises Ltd.,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,Miami,FL,United States,NYSE
KVUE,Kenvue Inc.,Kenvue Inc.,Consumer Defensive,Household & Personal Products,Skillman,NJ,United States,NYSE
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Pembroke,,Bermuda,NASDAQ_SE
GEHC,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,Chicago,IL,United States,NASDAQ_SE
FANG,Diamondback Energy Inc.,Diamondback Energy Inc.,Energy,Oil & Gas E&P,Midland,TX,United States,NASDAQ_SE
IR,Ingersoll Rand Inc.,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,Davidson,NC,United States,NYSE
MPWR,Monolithic Power Systems Inc.,Monolithic Power Systems Inc.,Technology,Semiconductors,Kirkland,WA,United States,NASDAQ_SE
PEG,Public Service Enterprise Group,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,Newark,NJ,United States,NYSE
NDAQ,Nasdaq Inc.,Nasdaq Inc.,Financial Services,Financial Data & Stock Exchanges,New York,NY,United States,NASDAQ_SE
VMC,Vulcan Materials Company (Holdi,Vulcan Materials Company,Basic Materials,Building Materials,Birmingham,AL,United States,NYSE
