Exchange,Symbol,ShortName,LongName,Sector,Industry,City,State,Country
NMS,CME,CME Group Inc.,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,Chicago,IL,United States
NYQ,MO,Altria Group Inc.,Altria Group Inc.,Consumer Defensive,Tobacco,Richmond,VA,United States
NYQ,TT,Trane Technologies plc,Trane Technologies plc,Industrials,Building Products & Equipment,Swords,,Ireland
NYQ,FCX,Freeport McMoRan Inc.,Freeport McMoRan Inc.,Basic Materials,Copper,Phoenix,AZ,United States
NYQ,TGT,Target Corporation,Target Corporation,Consumer Defensive,Discount Stores,Minneapolis,MN,United States
NYQ,ITW,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,Glenview,IL,United States
NYQ,TDG,Transdigm Group Incorporated,TransDigm Group Incorporated,Industrials,Aerospace & Defense,Cleveland,OH,United States
NYQ,MCO,Moody's Corporation,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,New York,NY,United States
NYQ,PH,Parker Hannifin Corporation,Parker Hannifin Corporation,Industrials,Specialty Industrial Machinery,Cleveland,OH,United States
NYQ,CVS,CVS Health Corporation,CVS Health Corporation,Healthcare,Healthcare Plans,Woonsocket,RI,United States
NYQ,MCK,McKesson Corporation,McKesson Corporation,Healthcare,Medical Distribution,Irving,TX,United States
NMS,CTAS,Cintas Corporation,Cintas Corporation,Industrials,Specialty Business Services,Cincinnati,OH,United States
NYQ,NOC,Northrop Grumman Corporation,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Falls Church,VA,United States
NMS,PYPL,PayPal Holdings Inc.,PayPal Holdings Inc.,Financial Services,Credit Services,San Jose,CA,United States
NYQ,SLB,Schlumberger N.V.,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,Houston,TX,United States
NYQ,BDX,Becton Dickinson and Company,Becton Dickinson and Company,Healthcare,Medical Instruments & Supplies,Franklin Lakes,NJ,United States
NMS,MAR,Marriott International,Marriott International Inc.,Consumer Cyclical,Lodging,Bethesda,MD,United States
NMS,EQIX,Equinix Inc.,Equinix Inc.,Real Estate,REIT - Specialty,Redwood City,CA,United States
NMS,NXPI,NXP Semiconductors N.V.,NXP Semiconductors N.V.,Technology,Semiconductors,Eindhoven,,Netherlands
NMS,CSX,CSX Corporation,CSX Corporation,Industrials,Railroads,Jacksonville,FL,United States
NYQ,ECL,Ecolab Inc.,Ecolab Inc.,Basic Materials,Specialty Chemicals,Saint Paul,MN,United States
NYQ,USB,U.S. Bancorp,U.S. Bancorp,Financial Services,Banks - Regional,Minneapolis,MN,United States
NYQ,MPC,Marathon Petroleum Corporation,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,Findlay,OH,United States
NYQ,FDX,FedEx Corporation,FedEx Corporation,Industrials,Integrated Freight & Logistics,Memphis,TN,United States
NMS,CEG,Constellation Energy Corporatio,Constellation Energy Corporation,Utilities,Utilities - Renewable,Baltimore,MD,United States
NYQ,PNC,PNC Financial Services Group I,The PNC Financial Services Group Inc.,Financial Services,Banks - Regional,Pittsburgh,PA,United States
NYQ,AON,Aon plc,Aon plc,Financial Services,Insurance Brokers,Dublin,,Ireland
NYQ,PSX,Phillips 66,Phillips 66,Energy,Oil & Gas Refining & Marketing,Houston,TX,United States
NYQ,EMR,Emerson Electric Company,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,Saint Louis,MO,United States
NMS,ORLY,O'Reilly Automotive Inc.,O'Reilly Automotive Inc.,Consumer Cyclical,Specialty Retail,Springfield,MO,United States
NYQ,MSI,Motorola Solutions Inc.,Motorola Solutions Inc.,Technology,Communication Equipment,Chicago,IL,United States
NYQ,RSG,Republic Services Inc.,Republic Services Inc.,Industrials,Waste Management,Phoenix,AZ,United States
NYQ,CARR,Carrier Global Corporation,Carrier Global Corporation,Industrials,Building Products & Equipment,Palm Beach Gardens,FL,United States
NYQ,WELL,Welltower Inc.,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,Toledo,OH,United States
NYQ,OXY,Occidental Petroleum Corporatio,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,Houston,TX,United States
NMS,MNST,Monster Beverage Corporation,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,Corona,CA,United States
NMS,ROP,Roper Technologies Inc.,Roper Technologies Inc.,Technology,Software - Application,Sarasota,FL,United States
NMS,PCAR,PACCAR Inc.,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,Bellevue,WA,United States
NYQ,APD,Air Products and Chemicals Inc,Air Products and Chemicals Inc.,Basic Materials,Specialty Chemicals,Allentown,PA,United States
NYQ,COF,Capital One Financial Corporati,Capital One Financial Corporation,Financial Services,Credit Services,McLean,VA,United States
NMS,CPRT,Copart Inc.,Copart Inc.,Industrials,Specialty Business Services,Dallas,TX,United States
NYQ,SPG,Simon Property Group Inc.,Simon Property Group Inc.,Real Estate,REIT - Retail,Indianapolis,IN,United States
NYQ,MMM,3M Company,3M Company,Industrials,Conglomerates,Saint Paul,MN,United States
NYQ,NSC,Norfolk Southern Corporation,Norfolk Southern Corporation,Industrials,Railroads,Atlanta,GA,United States
NYQ,AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,Rolling Meadows,IL,United States
NYQ,AIG,American International Group I,American International Group Inc.,Financial Services,Insurance - Diversified,New York,NY,United States
NYQ,TFC,Truist Financial Corporation,Truist Financial Corporation,Financial Services,Banks - Regional,Charlotte,NC,United States
NYQ,VLO,Valero Energy Corporation,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,San Antonio,TX,United States
NMS,DXCM,DexCom Inc.,DexCom Inc.,Healthcare,Medical Devices,San Diego,CA,United States
NYQ,GM,General Motors Company,General Motors Company,Consumer Cyclical,Auto Manufacturers,Detroit,MI,United States
NYQ,EW,Edwards Lifesciences Corporatio,Edwards Lifesciences Corporation,Healthcare,Medical Devices,Irvine,CA,United States
NYQ,AZO,AutoZone Inc.,AutoZone Inc.,Consumer Cyclical,Specialty Retail,Memphis,TN,United States
NMS,MCHP,Microchip Technology Incorporat,Microchip Technology Incorporated,Technology,Semiconductors,Chandler,AZ,United States
NYQ,MET,MetLife Inc.,MetLife Inc.,Financial Services,Insurance - Life,New York,NY,United States
NYQ,HLT,Hilton Worldwide Holdings Inc.,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,McLean,VA,United States
NYQ,DHI,D.R. Horton Inc.,D.R. Horton Inc.,Consumer Cyclical,Residential Construction,Arlington,TX,United States
NYQ,F,Ford Motor Company,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,Dearborn,MI,United States
NYQ,TRV,Travelers Companies Inc.,The Travelers Companies Inc.,Financial Services,Insurance - Property & Casualty,New York,NY,United States
NYQ,HES,Hess Corporation,Hess Corporation,Energy,Oil & Gas E&P,New York,NY,United States
NMS,SMCI,Super Micro Computer Inc.,Super Micro Computer Inc.,Technology,Computer Hardware,San Jose,CA,United States
NYQ,AFL,AFLAC Incorporated,Aflac Incorporated,Financial Services,Insurance - Life,Columbus,GA,United States
NMS,MRNA,Moderna Inc.,Moderna Inc.,Healthcare,Biotechnology,Cambridge,MA,United States
NYQ,O,Realty Income Corporation,Realty Income Corporation,Real Estate,REIT - Retail,San Diego,CA,United States
NYQ,NEM,Newmont Corporation,Newmont Corporation,Basic Materials,Gold,Denver,CO,United States
NYQ,EL,Estee Lauder Companies Inc. (T,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,New York,NY,United States
NYQ,WMB,Williams Companies Inc.,The Williams Companies Inc.,Energy,Oil & Gas Midstream,Tulsa,OK,United States
NYQ,PSA,Public Storage,Public Storage,Real Estate,REIT - Industrial,Glendale,CA,United States
NYQ,STZ,Constellation Brands Inc.,Constellation Brands Inc.,Consumer Defensive,Beverages - Wineries & Distilleries,Victor,NY,United States
NYQ,DLR,Digital Realty Trust Inc.,Digital Realty Trust Inc.,Real Estate,REIT - Specialty,Austin,TX,United States
NMS,AEP,American Electric Power Company,American Electric Power Company Inc.,Utilities,Utilities - Regulated Electric,Columbus,OH,United States
NYQ,GEV,GE Vernova Inc.,GE Vernova Inc.,Utilities,Utilities - Renewable,Cambridge,MA,United States
NMS,ADSK,Autodesk Inc.,Autodesk Inc.,Technology,Software - Application,San Francisco,CA,United States
NYQ,PCG,Pacific Gas & Electric Co.,PG&E Corporation,Utilities,Utilities - Regulated Electric,Oakland,CA,United States
NYQ,SRE,DBA Sempra,Sempra,Utilities,Utilities - Diversified,San Diego,CA,United States
NYQ,GWW,W.W. Grainger Inc.,W.W. Grainger Inc.,Industrials,Industrial Distribution,Lake Forest,IL,United States
NMS,KDP,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,Burlington,MA,United States
NYQ,KMB,Kimberly Clark Corporation,Kimberly Clark Corporation,Consumer Defensive,Household & Personal Products,Dallas,TX,United States
NYQ,OKE,ONEOK Inc.,ONEOK Inc.,Energy,Oil & Gas Midstream,Tulsa,OK,United States
NYQ,URI,United Rentals Inc.,United Rentals Inc.,Industrials,Rental & Leasing Services,Stamford,CT,United States
NMS,FTNT,Fortinet Inc.,Fortinet Inc.,Technology,Software - Infrastructure,Sunnyvale,CA,United States
